id,ts,rule_id,src_ip,username,severity,raw,status,acknowledged_at,acknowledged_by,country_code,event_occurred_at
1,2026-08-04 06:33:14.987142,suspicious_login,91.240.118.172,finance,high,"{""src_ip"": ""91.240.118.172"", ""country"": ""Iran"", ""message"": ""Login from suspicious location: finance from Iran (IR)"", ""rule_id"": ""suspicious_login"", ""severity"": ""high"", ""username"": ""finance"", ""timestamp"": ""2026-08-04T06:33:14Z"", ""country_code"": ""IR""}",new,,,HK,
2,2026-08-04 06:33:16.071137,malware_detected,192.168.1.24,system,critical,"{""src_ip"": ""192.168.1.24"", ""message"": ""Malware detected: Backdoor.Linux.Mirai.b (botnet) at /var/tmp/.x11"", ""rule_id"": ""malware_detected"", ""severity"": ""critical"", ""username"": ""system"", ""file_path"": ""/var/tmp/.x11"", ""timestamp"": ""2026-08-04T06:33:15Z"", ""malware_name"": ""Backdoor.Linux.Mirai.b"", ""malware_type"": ""botnet""}",new,,,,
3,2026-08-04 06:33:17.56894,suspicious_login,185.220.101.42,ceo,high,"{""src_ip"": ""185.220.101.42"", ""country"": ""Russia"", ""message"": ""Login from suspicious location: ceo from Russia (RU)"", ""rule_id"": ""suspicious_login"", ""severity"": ""high"", ""username"": ""ceo"", ""timestamp"": ""2026-08-04T06:33:17Z"", ""country_code"": ""RU""}",new,,,DE,
4,2026-08-04 06:33:18.977448,malware_detected,192.168.1.43,system,critical,"{""src_ip"": ""192.168.1.43"", ""message"": ""Malware detected: Ransom.WannaCry.S (ransomware) at /home/user/Documents/important.docx.encrypted"", ""rule_id"": ""malware_detected"", ""severity"": ""critical"", ""username"": ""system"", ""file_path"": ""/home/user/Documents/important.docx.encrypted"", ""timestamp"": ""2026-08-04T06:33:18Z"", ""malware_name"": ""Ransom.WannaCry.S"", ""malware_type"": ""ransomware""}",new,,,,
5,2026-08-04 06:33:21.127535,port_scan_detected,196.251.83.100,unknown,high,"{""src_ip"": ""196.251.83.100"", ""message"": ""Multiple connection attempts from 196.251.83.100 to various ports detected"", ""rule_id"": ""port_scan_detected"", ""severity"": ""high"", ""username"": ""unknown"", ""timestamp"": ""2026-08-04T06:33:20Z"", ""ports_scanned"": 125}",new,,,NL,
6,2026-08-04 06:33:21.946589,privilege_escalation,192.168.1.10,deploy,critical,"{""src_ip"": ""192.168.1.10"", ""message"": ""Suspicious sudo usage by deploy: attempting to access /etc/shadow"", ""rule_id"": ""privilege_escalation"", ""severity"": ""critical"", ""username"": ""deploy"", ""timestamp"": ""2026-08-04T06:33:21Z""}",new,,,,
7,2026-08-04 06:33:23.844922,file_integrity,192.168.1.10,system,critical,"{""src_ip"": ""192.168.1.10"", ""message"": ""ossec: integrity checksum changed: /etc/ssh/sshd_config"", ""rule_id"": ""file_integrity"", ""severity"": ""critical"", ""username"": ""system"", ""file_path"": ""/etc/ssh/sshd_config"", ""timestamp"": ""2026-08-04T06:33:23Z""}",new,,,,
8,2026-08-04 06:33:24.840496,file_integrity,192.168.1.10,system,high,"{""src_ip"": ""192.168.1.10"", ""message"": ""ossec: integrity checksum changed: /var/www/html/index.php"", ""rule_id"": ""file_integrity"", ""severity"": ""high"", ""username"": ""system"", ""file_path"": ""/var/www/html/index.php"", ""timestamp"": ""2026-08-04T06:33:24Z""}",new,,,,
9,2026-08-04 06:33:27.799675,file_integrity,192.168.1.10,system,critical,"{""src_ip"": ""192.168.1.10"", ""message"": ""ossec: integrity checksum changed: /etc/passwd"", ""rule_id"": ""file_integrity"", ""severity"": ""critical"", ""username"": ""system"", ""file_path"": ""/etc/passwd"", ""timestamp"": ""2026-08-04T06:33:27Z""}",new,,,,
10,2026-08-04 06:33:28.852137,file_integrity,192.168.1.10,system,critical,"{""src_ip"": ""192.168.1.10"", ""message"": ""ossec: integrity checksum changed: /etc/shadow"", ""rule_id"": ""file_integrity"", ""severity"": ""critical"", ""username"": ""system"", ""file_path"": ""/etc/shadow"", ""timestamp"": ""2026-08-04T06:33:28Z""}",new,,,,
